"species","PC1_mean","PC1_sd","PC2_mean","PC2_sd","PC3_mean","PC3_sd","PC4_mean","PC4_sd","PC5_mean","PC5_sd","PC6_mean","PC6_sd","PC7_mean","PC7_sd","PC8_mean","PC8_sd"
"Amblyglyphidodon_batunaorum",-192.404930892852,91.2442326715075,-22.5880755051306,52.9173558964728,-79.1953477895937,27.4550407615248,12.9460482058962,75.7759484623505,19.2401263521981,76.0465746397806,43.6490291072182,49.8780785244472,3.36835650163631,16.1658283561593,1.47427292508428,36.1231831454856
"Amblyglyphidodon_curacao",-120.786274905595,195.685348184164,-123.046632008969,91.6320011354778,4.23025441472017,51.4208941119086,32.0670343029288,13.2891428153352,-19.8295306677919,35.2513808628081,61.98456755875,46.3307462690422,24.3389214828406,12.4846414303967,37.4208603266163,36.5839089760977
"Amblyglyphidodon_flavilatus",-189.938219992319,157.018592786356,-52.984913301973,162.340698988886,-24.3450359522941,45.4909664847701,-48.2658900677421,60.5840775571789,47.8391292601914,37.6321146119167,11.0334244165033,69.6358286035898,29.3444392502847,19.5386089856408,9.89607858852114,89.5599632936782
"Amblyglyphidodon_flavopurpureus",44.4776944499209,69.7621128673808,145.554081948915,10.142994502792,-7.60506469095574,33.2394424611839,-4.43420698356904,36.6995995369718,55.5967476782416,9.54772723386052,-8.71890755980488,17.1412036664293,28.5782828609191,34.6803056669882,52.2934524934335,55.2422512049863
"Amblyglyphidodon_indicus",-102.287692121085,141.192603511941,-166.663030409841,134.07453635972,-11.0534880166663,78.8299627407465,-83.7843544977821,72.5055035794468,22.2433387848294,41.8188704177845,54.268620724399,22.5475968422591,9.6487309822089,39.6499798735931,14.3043020953366,15.6579575213403
"Amblyglyphidodon_leucogaster",62.6410462884939,140.127555389075,-66.3853904488941,84.2843022705272,73.608532013475,40.4030154827085,52.1484629234131,30.4037615206252,-2.30851525872502,50.9780254891388,106.584847632895,122.286765951445,-51.6908402522228,8.26524558152424,54.4263381590147,41.7814692566773
"Amblyglyphidodon_melanopterus",-142.950595698816,97.7532113968014,-47.023098476107,53.5866626430706,-137.012247600018,21.5176904057729,-36.9773762318408,65.885923444213,39.5725655551948,52.1038760851539,-14.0098931449343,14.6251348288699,40.4898203471225,17.3186698324023,44.6524092102655,12.8334582008273
"Amblyglyphidodon_orbicularis",-95.2942399108982,119.262605239195,-33.8150309881943,57.2244372645338,-2.04631642287753,38.9910320527379,-35.1453355689391,48.4070532522889,65.5945058393537,64.23446105174,35.0294817829617,34.2765411758721,48.455747409071,58.5751889935573,100.654280813996,7.52360479462716
"Amblyglyphidodon_silolona",-121.976696395058,45.0952632137182,-93.972832527747,20.4979080389637,-5.31267930533654,55.5659672732078,-25.3292907840988,52.1448828504221,23.1325645606014,25.2100302549358,15.2803992044369,19.6157109803033,35.582207784899,30.0940267829747,32.4837691339961,31.4367029947829
"Amblyglyphidodon_ternatensis",-90.4165296252765,32.7013421061947,129.78188613524,83.9114934047583,7.84762554740445,144.270872879251,14.0439588859273,39.449554703246,40.6017249265993,18.5532964461592,48.0436817724528,15.6625872139596,0.837870956836278,23.7329553804803,-4.37959890310277,72.7304325605824
"Amblypomacentrus_annulatus",-44.517978335263,105.729490525453,33.4509175222174,30.0044458406492,103.075194268893,86.8182078167775,-82.6562201316052,55.336093762543,-159.856794159709,25.9885157323643,54.4267210188208,37.173091256916,-72.2004662759118,31.3773792421371,-58.1164561819881,24.5739830530865
"Amblypomacentrus_breviceps",-140.423609966796,27.8541061625299,39.6837831538059,43.6370084248422,32.2253394642703,29.6779368833131,-94.6550532366164,16.3253052133372,-59.4870661922217,19.8568468643654,-100.328913823013,35.3544305545585,-153.289925374204,30.0978429638194,23.9466335584873,48.6215465150407
