"","body_ratio","head_ratio","snout_ratio","eye_ratio","peduncle_ratio","anal_fin_ratio","pelvic_fin_ratio","eye_height","snout_angle","peduncle_depth_factor","relative_body_length","species"
"Acanthochromis polyacanthus_19069276",0.587374267965345,0.260336658541693,0.491092465537886,0.203348515480696,0.0113168929815227,0.239029069715701,0.0620674676509778,0.638736905046413,1.00783134474735,16.2296892578498,0.539464900702878,"Acanthochromis_polyacanthus"
"Acanthochromis polyacanthus_2",0.524073862613737,0.179431216953191,0.49432267365357,0.442304957820947,0.015405065919794,0.276530594798736,0.0992478053021444,0.634477337681514,1.19140510723395,15.4925530297259,0.541704958598709,"Acanthochromis_polyacanthus"
"Acanthochromis polyacanthus_4",0.520126756100226,0.172348977471943,0.457724195817064,0.452802554072022,0.0159701727636325,0.290258435689703,0.0621357122846631,0.645020744239924,1.26074131009924,15.8915786230345,0.544529229654398,"Acanthochromis_polyacanthus"
"Acanthochromis-polyacanthus_1",0.520748214579403,0.15898631251147,0.347084761387572,0.536347884525467,0.0139092041630602,0.283662447418298,0.0414645403431604,0.739063441548605,1.37526623363327,15.9364346313116,0.539184859047314,"Acanthochromis_polyacanthus"
"Altrichthys alelia_1",0.540713482355712,0.153411141222709,0.359916946285057,0.516890519604634,0.024010999018745,0.2406395957031,0.0821569200378832,0.658865660841151,1.44417877676152,11.8379787152431,0.541231235351232,"Altrichthys_alelia"
"Altrichthys alelia_fb1",0.52921630293819,0.145054420846888,0.411609017263509,0.209705951124008,0.0212213359550118,0.166599199687158,0.107585447442608,0.72113285977872,1.37859583582401,12.4803117811639,0.533814372660411,"Altrichthys_alelia"
"Altrichthys azurelineatus_fb1",0.48471262320579,0.191235222646542,0.411401977385082,0.416781314784582,0.0234842237431705,0.265500525787033,0.093347726898931,0.699446190684576,1.29870394160862,12.3164872046678,0.552885007503963,"Altrichthys_azurelineatus"
"Altrichthys azurelineatus_fb2",0.584486897954103,0.233473468623995,0.458376774762873,0.443616495508876,0.0164214930590214,0.270303539730488,0.0758979661805378,0.568118651833719,1.06676678200144,15.1665511516985,0.547881572424598,"Altrichthys_azurelineatus"
"Altrichthys-alelia_2",0.558336452203922,0.162958581622576,0.374474489165182,0.374208046988278,0.0207768893194572,0.229678633952329,0.126700659536988,0.659793570164667,1.31063590021885,12.9533799376231,0.539113445408453,"Altrichthys_alelia"
"Altrichthys-azurelineatus_1",0.487776766454077,0.187504928596496,0.457197723290592,0.334027787194108,0.0221347215463706,0.283304699416288,0.0764413551614204,0.707927441082028,1.29998302877104,11.5131457225117,0.55797603763469,"Altrichthys_azurelineatus"
"Altrichthys-curatus_1",0.49806271941551,0.233339416287219,0.432381878656837,0.453303883470217,0.017525157152304,0.265607307397875,0.124484597662308,0.573338148963883,1.13321509659129,16.4735643787202,0.551937326027309,"Altrichthys_curatus"
"Amblyglyphidodon aureus_106239007",0.609712486618427,0.210980931950932,0.456010714020081,0.377494427991714,0.0158541028166936,0.332743181093107,0.0567316500243115,0.585944665690178,1.19540648576101,16.6799618603044,0.532180812586107,"Amblyglyphidodon_aureus"
"Amblyglyphidodon aureus_39116997",0.578311320717114,0.179404210884058,0.529831058620041,0.21853791921784,0.019265478752772,0.311310371220992,0.108982421535624,0.630501326356568,1.27223173124429,15.3554293103369,0.53809301980911,"Amblyglyphidodon_aureus"
"Amblyglyphidodon aureus_69612933",0.694102997855744,0.261253410618864,0.465347924521919,0.385586453309781,0.0185781298317521,0.347924681530891,0.0424091401008935,0.60676631345442,1.33221463295812,13.6434067144463,0.540507718954333,"Amblyglyphidodon_aureus"
"Amblyglyphidodon batunaorum_148493504",0.485277660555012,0.225856407712598,0.444390355884637,0.263365026753609,0.0202601517602745,0.282356097583192,0.0866793284499757,0.598803519259551,1.23162957268747,12.3153499295362,0.565180190968741,"Amblyglyphidodon_batunaorum"
