TraitSet,PC,model,AIC,k,n_obs,AICc,DeltaAICc,Weight
Color,colorPC6,OUM_Diet,928.6280162884545,5,343,928.8060578314812,22.2711949534081,1.4167942354986953e-5
Color,colorPC6,OUM_Symbiosis,906.3568213350464,5,343,906.5348628780731,0,0.9714832521642773
Color,colorPC6,OUM_Habitat,913.2592551050377,7,343,913.5935834632467,7.058720585173546,0.02848745277798493
Color,colorPC7,WN,976.4256673306087,1,343,976.4373975358873,48.753544993375385,1.3463373135225905e-11
Color,colorPC7,BM,1273.5950787400816,1,343,1273.6068089453602,345.9229564028483,3.977737316158179e-76
Color,colorPC7,EB,1275.6324376772677,1,343,1275.6441678825463,347.9603153400344,1.436247307506684e-76
Color,colorPC7,OU,954.61143435628,1,343,954.6231645615586,26.939312019046724,7.346058562672607e-7
Color,colorPC7,OUM_Diet,954.9081720932588,5,343,955.0862136362855,27.402361093773607,5.827798900860379e-7
Color,colorPC7,OUM_Symbiosis,927.6644469495691,5,343,927.8424884925957,0.15863595008386255,0.4801802632890211
Color,colorPC7,OUM_Habitat,927.3495241843029,7,343,927.6838525425119,0,0.5198184193117692
Color,colorPC8,WN,976.4256673306087,1,343,976.4373975358873,5.414539188734125,0.04908632948030981
Color,colorPC8,BM,1257.4373266316165,1,343,1257.4490568368951,286.426198489742,4.6779337366979557e-63
Color,colorPC8,EB,1259.474538046259,1,343,1259.4862682515377,288.46340990438455,1.6891928239290083e-63
Color,colorPC8,OU,971.0111281418746,1,343,971.0228583471531,0,0.7357204096848584
Color,colorPC8,OUM_Diet,975.0859976939446,5,343,975.2640392369713,4.241180889818111,0.08825759227011001
Color,colorPC8,OUM_Symbiosis,974.9788438157833,5,343,975.15688535881,4.134027011656826,0.09311512795866879
Color,colorPC8,OUM_Habitat,976.8480936694746,7,343,977.1824220276835,6.159563680530368,0.033820540606053
Morphology,morphoPC1,WN,976.4256673306087,1,343,976.4373975358873,88.47068510774477,6.148967362006635e-20
Morphology,morphoPC1,BM,1019.330939483575,1,343,1019.3426696888536,131.37595726071106,2.965109372319008e-29
Morphology,morphoPC1,EB,1021.3679505800108,1,343,1021.3796807852893,133.41296835714684,1.0708025042665123e-29
Morphology,morphoPC1,OU,909.3179488818033,1,343,909.3296790870819,21.3629666589394,2.2964558245184056e-5
Morphology,morphoPC1,OUM_Diet,887.7886708851158,5,343,887.9667124281425,0,0.999924855918319
Morphology,morphoPC1,OUM_Symbiosis,907.5957612508328,5,343,907.7738027938594,19.80709036571693,4.9993361579351476e-5
Morphology,morphoPC1,OUM_Habitat,913.6989600334032,7,343,914.0332883916121,26.06657596346963,2.186161856491779e-6
Morphology,morphoPC2,WN,976.4256673306087,1,343,976.4373975358873,6.292524140097726,0.01839067606936445
Morphology,morphoPC2,BM,1241.5982694911238,1,343,1241.6099996964024,271.46512630061284,4.8205740632193194e-60
Morphology,morphoPC2,EB,1243.6355330780893,1,343,1243.647263283368,273.5023898875784,1.740654562342541e-60
Morphology,morphoPC2,OU,970.133143190511,1,343,970.1448733957895,0,0.4275648064272255
Morphology,morphoPC2,OUM_Diet,971.2911538064074,5,343,971.469195349434,1.3243219536444713,0.22051040766045754
Morphology,morphoPC2,OUM_Symbiosis,970.5859940133276,5,343,970.7640355563543,0.6191621605647697,0.31372750497570717
Morphology,morphoPC2,OUM_Habitat,975.9547258568612,7,343,976.2890542150701,6.144180819280564,0.019806604867245378
Morphology,morphoPC3,WN,976.4256673306086,1,343,976.4373975358872,60.63665466066027,6.806401778508566e-14
Morphology,morphoPC3,BM,1408.0327068906872,1,343,1408.0444370959658,492.2436942207389,1.2901486905586121e-107
Morphology,morphoPC3,EB,1410.0702150027573,1,343,1410.081945208036,494.281202332809,4.6580109054479785e-108
Morphology,morphoPC3,OU,980.1452541947489,1,343,980.1569844000275,64.35624152480057,1.0597893640876487e-14
Morphology,morphoPC3,OUM_Diet,915.6227013322002,5,343,915.8007428752269,0,0.999999635736757
Morphology,morphoPC3,OUM_Symbiosis,945.2735143942634,5,343,945.4515559372901,29.650813062063207,3.6425673744018463e-7
Morphology,morphoPC3,OUM_Habitat,967.0074870871107,7,343,967.3418154453196,51.54107257009275,6.426849611435907e-12
Morphology,morphoPC4,WN,976.4256673306087,1,343,976.4373975358873,17.236668764440765,1.5099047885117417e-4
Morphology,morphoPC4,BM,1240.3004673249507,1,343,1240.3121975302292,281.11146875878273,7.572944726579345e-62
Morphology,morphoPC4,EB,1242.3377800595038,1,343,1242.3495102647823,283.14878149333583,2.7344371626654583e-62
Morphology,morphoPC4,OU,974.5145532579007,1,343,974.5262834631793,15.325554691732805,3.9259314344724475e-4
Morphology,morphoPC4,OUM_Diet,962.3074124934808,5,343,962.4854540365075,3.284725265060956,0.161649959166816
Morphology,morphoPC4,OUM_Symbiosis,959.0226872284198,5,343,959.2007287714465,0,0.835304128344791
Morphology,morphoPC4,OUM_Habitat,970.4875484920526,7,343,970.8218768502616,11.621148078815054,0.0025023288660947027
Morphology,morphoPC5,WN,976.4256673306087,1,343,976.4373975358873,12.590596267422939,0.0016954092419229465
Morphology,morphoPC5,BM,1328.222573081275,1,343,1328.2343032865535,364.3875020180892,6.87934495622298e-80
Morphology,morphoPC5,EB,1330.2599438637938,1,343,1330.2716740690723,366.424872800608,2.483920220741902e-80
Morphology,morphoPC5,OU,978.4698375008365,1,343,978.4815677061151,14.634766437650796,6.100825929136969e-4
Morphology,morphoPC5,OUM_Diet,974.1796608848654,5,343,974.357702427892,10.510901159427704,0.0047959494944779715
Morphology,morphoPC5,OUM_Symbiosis,963.6687597254377,5,343,963.8468012684643,0,0.9189413363206546
Morphology,morphoPC5,OUM_Habitat,968.5519437829786,7,343,968.8862721411875,5.0394708727232,0.07395722235003091
Morphology,morphoPC6,WN,976.4256673306086,1,343,976.4373975358872,108.36476177836084,1.8174833395700218e-24
Morphology,morphoPC6,BM,998.5011285959039,1,343,998.5128588011825,130.44022304365615,2.9231084742591925e-29
Morphology,morphoPC6,EB,1000.5382910584918,1,343,1000.5500212637704,132.4773855062441,1.0555546514386784e-29
Morphology,morphoPC6,OU,881.4605322928676,1,343,881.4722624981462,13.399626740619851,7.601293443144889e-4
