model,AIC,k,n_obs,AICc,PC,region,TraitSet,DeltaAICc,Weight
EB,475.1729542305134,1,343,475.184684435792,colorPC3,IO,Color,147.18898007881717,4.6855155554994026e-33
OU,331.08996942616403,1,343,331.1016996314426,colorPC3,IO,Color,3.105995274467773,0.09077787294278769
OUM_Diet,327.8176628139481,5,343,327.99570435697484,colorPC3,IO,Color,0,0.4289812463139015
OUM_Habitat,334.3408314840047,7,343,334.67515984221365,colorPC3,IO,Color,6.679455485238805,0.015205929652049397
OUM_Symbiosis,329.60823307216924,5,343,329.78627461519596,colorPC3,IO,Color,1.7905702582211234,0.17523502518755163
DDlin,431.23235296713,3,343,431.303149427307,colorPC3,IO,Color,103.30744507033216,1.5831119963082106e-23
DDexp,331.67425991178646,3,343,331.74505637196347,colorPC3,IO,Color,3.749352014988631,0.0658077225609074
MC,475.1720942758692,3,343,475.2428907360462,colorPC3,IO,Color,147.24718637907137,4.551117482567078e-33
WN,542.8374389178965,1,343,542.8491691231751,colorPC3,IAA,Color,4.4880718511825535,0.06548536716220761
BM,746.443634484152,1,343,746.4553646894306,colorPC3,IAA,Color,208.094267417438,4.014400138760776e-46
EB,748.5045791944863,1,343,748.5163093997649,colorPC3,IAA,Color,210.1552121277723,1.4324919872217405e-46
OU,541.4944519937446,1,343,541.5061821990232,colorPC3,IAA,Color,3.1450849270306662,0.12816521549214888
OUM_Diet,543.2900179111631,5,343,543.4680594541898,colorPC3,IAA,Color,5.106962182197208,0.048056699341198786
OUM_Habitat,538.0267689137836,7,343,538.3610972719925,colorPC3,IAA,Color,0,0.6176133665280914
OUM_Symbiosis,545.1796336091561,5,343,545.3576751521828,colorPC3,IAA,Color,6.996577880190216,0.01868224674648065
DDlin,669.0570310624737,3,343,669.1278275226507,colorPC3,IAA,Color,130.76673025065816,2.483602019610507e-29
DDexp,541.5340314686986,3,343,541.6048279288756,colorPC3,IAA,Color,3.243730656883031,0.12199710472987269
MC,748.5034067247581,3,343,748.5742031849351,colorPC3,IAA,Color,210.21310591294252,1.3916202049928518e-46
WN,356.6584878364216,1,343,356.6702180417002,colorPC3,CPO,Color,0,0.4569659073775018
BM,515.044559823441,1,343,515.0562900287196,colorPC3,CPO,Color,158.38607198701936,1.8483544734940482e-35
EB,517.1430565525543,1,343,517.1547867578329,colorPC3,CPO,Color,160.48456871613269,6.472953513415773e-36
OU,358.0789821606713,1,343,358.09071236594986,colorPC3,CPO,Color,1.4204943242496597,0.22460911507234477
OUM_Diet,361.8595334387385,5,343,362.0375749817652,colorPC3,CPO,Color,5.367356940065008,0.03121598543067379
OUM_Habitat,361.8508971442323,6,343,362.1008971442323,colorPC3,CPO,Color,5.43067910253211,0.030243135585145225
OUM_Symbiosis,360.7314885542128,5,343,360.9095300972395,colorPC3,CPO,Color,4.239312055539301,0.05486923228333664
DDlin,466.6244620726059,3,343,466.69525853278293,colorPC3,CPO,Color,110.02504049108273,5.8647542933713725e-25
DDexp,358.23114731407634,3,343,358.30194377425335,colorPC3,CPO,Color,1.63172573255315,0.20209662425099778
MC,517.1421615538493,3,343,517.2129580140263,colorPC3,CPO,Color,160.5427399723261,6.287395215922654e-36
WN,50.67548234397945,1,343,50.68721254925805,colorPC3,EPO,Color,0,0.4161149289241085
BM,80.09725540622395,1,343,80.10898561150255,colorPC3,EPO,Color,29.421773062244498,1.6996380802245174e-7
EB,82.89160413995876,1,343,82.90333434523735,colorPC3,EPO,Color,32.216121795979305,4.203115603066817e-8
OU,53.4695982499461,1,343,53.4813284552247,colorPC3,EPO,Color,2.794115905966649,0.10291501397207362
OUM_Diet,57.240722508265684,5,343,57.41876405129239,colorPC3,EPO,Color,6.731551502034343,0.01437061853330955
OUM_Habitat,55.80195073779715,4,343,55.92029393306342,colorPC3,EPO,Color,5.23308138380537,0.030399337081804815
OUM_Symbiosis,51.037078011908726,4,343,51.155421207174996,colorPC3,EPO,Color,0.46820865791694644,0.32926311230507416
DDlin,75.14267864409487,3,343,75.21347510427186,colorPC3,EPO,Color,24.526262555013815,1.965183244226743e-6
DDexp,53.333901009094646,3,343,53.40469746927164,colorPC3,EPO,Color,2.7174849200135895,0.10693477119281766
MC,82.89137831212449,3,343,82.96217477230148,colorPC3,EPO,Color,32.27496222304343,4.081260337670073e-8
WN,88.39853012211925,1,343,88.41026032739785,colorPC3,AO,Color,1.114268948916802,0.20688567629433346
BM,105.05983975573801,1,343,105.0715699610166,colorPC3,AO,Color,17.77557858253556,4.9862380190827996e-5
EB,107.5386776321549,1,343,107.5504078374335,colorPC3,AO,Color,20.25441645895245,1.4437772697311098e-5
OU,87.28426117320245,1,343,87.29599137848105,colorPC3,AO,Color,0,0.36115268777003307
OUM_Diet,92.69690704730513,5,343,92.87494859033184,colorPC3,AO,Color,5.578957211850792,0.022194005298138933
OUM_Habitat,91.87836494029963,6,343,92.12836494029963,colorPC3,AO,Color,4.832373561818585,0.03223697371442004
OUM_Symbiosis,89.70073547318921,4,343,89.81907866845549,colorPC3,AO,Color,2.523087289974441,0.10228440133738638
DDlin,97.85861547155481,3,343,97.9294119317318,colorPC3,AO,Color,10.633420553250758,0.0017728537743193428
DDexp,87.7819606951805,3,343,87.8527571553575,colorPC3,AO,Color,0.5567657768764462,0.27339508267048
MC,107.53848173682299,3,343,107.60927819699998,colorPC3,AO,Color,20.313286818518932,1.4018988000574383e-5
WN,325.2529121488508,1,343,325.26464235412936,colorPC4,IO,Color,16.77393599925341,2.163887410624263e-4
BM,396.1166635892678,1,343,396.12839379454635,colorPC4,IO,Color,87.6376874396704,8.858629768288028e-20
EB,398.22857841660965,1,343,398.24030862188823,colorPC4,IO,Color,89.74960226701228,3.081556064931758e-20
OU,318.3456181562725,1,343,318.3573483615511,colorPC4,IO,Color,9.866642006675136,0.006841234751470334
OUM_Diet,321.6224852579737,5,343,321.80052680100044,colorPC4,IO,Color,13.30982044612449,0.0012230882525818185
OUM_Habitat,314.7371480632698,7,343,315.07147642147874,colorPC4,IO,Color,6.580770066602781,0.035371421951478285
OUM_Symbiosis,308.31266481184923,5,343,308.49070635487595,colorPC4,IO,Color,0,0.949835904815143
DDlin,361.01351030530054,3,343,361.08430676547755,colorPC4,IO,Color,52.593600410601596,3.6065616593616946e-12
DDexp,318.3852069421722,3,343,318.4560034023492,colorPC4,IO,Color,9.965297047473257,0.006511961484657645
MC,398.227808388899,3,343,398.298604849076,colorPC4,IO,Color,89.80789849420006,2.993030956248441e-20
WN,596.1504909565552,1,343,596.1622211618338,colorPC4,IAA,Color,51.303893946532185,3.7673575135222575e-12
BM,794.6085175677192,1,343,794.6202477729978,colorPC4,IAA,Color,249.76192055769616,3.029869423578422e-55
EB,796.6695432920372,1,343,796.6812734973158,colorPC4,IAA,Color,251.8229462820142,1.0811298610306209e-55
OU,597.8372015514985,1,343,597.8489317567771,colorPC4,IAA,Color,52.99060454147548,1.620959946682175e-12
OUM_Diet,601.1898638946908,5,343,601.3679054377175,colorPC4,IAA,Color,56.509578222415826,2.790209788324723e-13
OUM_Habitat,544.6891966519515,7,343,545.0235250101605,colorPC4,IAA,Color,0.165197794858841,0.4793620079970311
OUM_Symbiosis,544.680285672275,5,343,544.8583272153016,colorPC4,IAA,Color,0,0.5206379919949067
DDlin,712.6043692634132,3,343,712.6751657235902,colorPC4,IAA,Color,167.81683850828858,1.886133327304383e-37
DDexp,596.9974824579999,3,343,597.0682789181769,colorPC4,IAA,Color,52.20995170287529,2.3949083256277164e-12
MC,796.6685534268113,3,343,796.7393498869883,colorPC4,IAA,Color,251.88102267168665,1.0501872347361533e-55
WN,357.4083346850776,1,343,357.4200648903562,colorPC4,CPO,Color,21.608335793079448,1.0009197392790685e-5
BM,413.2330224303179,1,343,413.24475263559646,colorPC4,CPO,Color,77.43302353831973,7.554788894761604e-18
EB,415.3313643301544,1,343,415.34309453543295,colorPC4,CPO,Color,79.53136543815623,2.645898494162131e-18
OU,344.82717782325057,1,343,344.83890802852915,colorPC4,CPO,Color,9.027178931252422,0.005399614496600676
OUM_Diet,345.12894165078615,5,343,345.30698319381287,colorPC4,CPO,Color,9.495254096536144,0.004272888143723544
OUM_Habitat,335.5617290972767,6,343,335.8117290972767,colorPC4,CPO,Color,0,0.4927081579870938
OUM_Symbiosis,335.64448003941664,5,343,335.82252158244336,colorPC4,CPO,Color,0.01079248516663256,0.49005654604889426
DDlin,375.5502518805351,3,343,375.6210483407121,colorPC4,CPO,Color,39.80931924343537,1.1171356603914138e-9
DDexp,344.0969344797082,3,343,344.1677309398852,colorPC4,CPO,Color,8.356001842608464,0.007552783009159354
MC,415.3306007073563,3,343,415.40139716753333,colorPC4,CPO,Color,79.58966807025661,2.569880466952595e-18
WN,57.814590827673,1,343,57.8263210329516,colorPC4,EPO,Color,0.032460457127783116,0.16113316302449282
BM,57.98494526351172,1,343,57.996675468790315,colorPC4,EPO,Color,0.2028148929665008,0.14797656323998074
EB,60.779154234528434,1,343,60.79088443980703,colorPC4,EPO,Color,2.997023863983216,0.0365963833235942
OU,58.1323410339441,1,343,58.1440712392227,colorPC4,EPO,Color,0.35021066339888307,0.13746316901574437
